"GEO_ID","NAME","B20004_001E","B20004_001M","B20004_002E","B20004_002M","B20004_003E","B20004_003M","B20004_004E","B20004_004M","B20004_005E","B20004_005M","B20004_006E","B20004_006M","B20004_007E","B20004_007M","B20004_008E","B20004_008M","B20004_009E","B20004_009M","B20004_010E","B20004_010M","B20004_011E","B20004_011M","B20004_012E","B20004_012M","B20004_013E","B20004_013M","B20004_014E","B20004_014M","B20004_015E","B20004_015M","B20004_016E","B20004_016M","B20004_017E","B20004_017M","B20004_018E","B20004_018M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than high school graduate","Margin of Error!!Total:!!Less than high school graduate","Estimate!!Total:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!High school graduate (includes equivalency)","Estimate!!Total:!!Some college or associate's degree","Margin of Error!!Total:!!Some college or associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Graduate or professional degree","Margin of Error!!Total:!!Graduate or professional degree","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Less than high school graduate","Margin of Error!!Total:!!Male:!!Less than high school graduate","Estimate!!Total:!!Male:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Male:!!High school graduate (includes equivalency)","Estimate!!Total:!!Male:!!Some college or associate's degree","Margin of Error!!Total:!!Male:!!Some college or associate's degree","Estimate!!Total:!!Male:!!Bachelor's degree","Margin of Error!!Total:!!Male:!!Bachelor's degree","Estimate!!Total:!!Male:!!Graduate or professional degree","Margin of Error!!Total:!!Male:!!Graduate or professional degree","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Less than high school graduate","Margin of Error!!Total:!!Female:!!Less than high school graduate","Estimate!!Total:!!Female:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Female:!!High school graduate (includes equivalency)","Estimate!!Total:!!Female:!!Some college or associate's degree","Margin of Error!!Total:!!Female:!!Some college or associate's degree","Estimate!!Total:!!Female:!!Bachelor's degree","Margin of Error!!Total:!!Female:!!Bachelor's degree","Estimate!!Total:!!Female:!!Graduate or professional degree","Margin of Error!!Total:!!Female:!!Graduate or professional degree",
"310M700US39380","Pueblo, CO Metro Area","48300","1494","33966","5800","41461","1316","44515","2211","57281","3719","73863","3280","55050","2119","43750","7315","50657","4008","53537","2162","70435","7723","78692","5313","41313","1081","23515","2652","32257","3520","38159","3030","51535","2216","70831","4102",
"310M700US39460","Punta Gorda, FL Metro Area","42303","1413","33706","4277","35535","1261","41656","1750","57130","4330","68623","5155","48712","3034","34796","6214","38990","3936","50485","5205","63164","11894","78820","13393","37726","2089","28831","9998","30439","2810","36973","2209","52139","5251","60476","7322",
"310M700US39540","Racine-Mount Pleasant, WI Metro Area","52749","1288","32345","5666","43229","1826","49547","1605","70922","4831","80873","2716","60923","1679","40102","3801","51156","3478","61047","2218","80455","4535","91891","12382","44735","1436","21716","9416","34644","1442","40225","1923","61535","2077","74365","4805",
"310M700US39580","Raleigh-Cary, NC Metro Area","61975","609","33553","1895","40139","1121","49678","902","78987","1584","94996","2347","74307","1136","38322","2485","46152","2044","59413","1505","96909","1908","120336","1846","53179","840","22277","1973","34538","1222","41564","1083","63457","1520","76796","1750",
"310M700US39660","Rapid City, SD Metro Area","47550","1375","34850","4699","38852","1627","45684","1761","54965","2086","77695","2849","53412","1948","35895","3448","42362","2818","52752","2662","64817","5243","95357","11260","41963","1613","28233","5593","33515","2731","38024","2300","49448","3550","71177","5344",
"310M700US39740","Reading, PA Metro Area","51494","682","32121","1683","43048","1334","50182","1314","67165","2389","84475","3684","59782","1137","41064","3378","51226","1180","61461","1739","85394","4377","98592","3215","42675","1247","23913","2488","32481","1615","41274","1261","56628","1722","79629","1808",
"310M700US39820","Redding, CA Metro Area","48929","1274","32489","3570","42452","2659","46405","1897","60992","2681","90725","5050","57404","3107","48788","6100","49001","2699","57031","5786","73017","3717","95996","10810","41846","1144","19864","2473","34015","2815","40908","1309","50883","3665","81756","6819",
"310M700US39900","Reno, NV Metro Area","51861","793","36938","1104","42855","1182","49402","1224","67509","2818","88158","4370","59669","1225","44029","1856","49199","1573","57043","1976","78829","4111","106719","5978","44867","913","31196","1233","36472","1645","42407","1205","56676","3015","76122","3574",
"310M700US40060","Richmond, VA Metro Area","56215","605","32531","1651","41506","766","49195","731","70102","1121","86429","1858","63231","943","37008","1398","47746","1605","57409","1424","82796","1640","111267","4141","49681","582","24268","1262","34372","1150","42800","1099","58828","1085","72830","1809",
"310M700US40140","Riverside-San Bernardino-Ontario, CA Metro Area","49418","298","34963","377","42098","318","49139","428","69376","1282","95515","1277","56476","542","40162","581","48825","680","60819","615","79216","1862","106593","3494","41728","255","26328","602","34742","554","40482","450","61489","808","87259","1794",
