"CBSA Code","CBSA","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"19740","Denver-Aurora-Lakewood, CO","2.8","2.1","60","23","0.1","0.088","5","3","1","22","8.1","118","36","."
"19780","Des Moines-West Des Moines, IA",".",".",".",".","0.07","0.059",".",".",".","17","6.9","63","20","."
"19820","Detroit-Warren-Dearborn, MI","2","1.5","45","13","0.09","0.07","56","20","2","24","11.1","62","22","0.03"
"19860","Dickinson, ND",".",".",".",".","0.07","0.065","5","4","2","15","4.7",".",".","."
"19980","Dodge City, KS",".",".",".",".",".",".",".",".",".",".",".","102","24","."
"20060","Douglas, GA",".",".",".",".",".",".",".",".",".","23","8.8",".",".","."
"20100","Dover, DE",".",".",".",".","0.07","0.063",".",".",".",".",".",".",".","."
"20260","Duluth, MN-WI",".",".","25","4","0.06","0.054","2","1","0","21","6","40","17","0"
"20420","Durango, CO",".",".","17","3","0.08","0.067",".",".",".",".",".",".",".","."
"20500","Durham-Chapel Hill, NC",".",".",".",".","0.07","0.062","3","1","0","20","9.7","32","14","."
"20540","Dyersburg, TN",".",".",".",".",".",".",".",".",".","14","6.2",".",".","."
"20580","Eagle Pass, TX",".",".",".",".",".",".",".",".",".","29","9",".",".","."
"20700","East Stroudsburg, PA",".",".",".",".","0.07","0.062",".",".",".",".",".",".",".","."
"20740","Eau Claire, WI",".",".",".",".","0.07","0.058",".",".",".",".",".","66","14","."
"20820","Effingham, IL",".",".",".",".","0.07","0.063",".",".",".",".",".",".",".","."
"20940","El Centro, CA",".",".","58","11","0.13","0.081","5","2","0","52","13.6","160","53","."
