"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"310M700US43420","Sierra Vista-Douglas, AZ Metro Area","995","49",
"310M700US43580","Sioux City, IA-NE-SD Metro Area","1002","27",
"310M700US43620","Sioux Falls, SD-MN Metro Area","1022","25",
"310M700US43640","Slidell-Mandeville-Covington, LA Metro Area","1332","35",
"310M700US43780","South Bend-Mishawaka, IN-MI Metro Area","1046","22",
"310M700US43900","Spartanburg, SC Metro Area","1057","21",
"310M700US44060","Spokane-Spokane Valley, WA Metro Area","1264","21",
"310M700US44100","Springfield, IL Metro Area","979","17",
"310M700US44140","Springfield, MA Metro Area","1136","23",
"310M700US44180","Springfield, MO Metro Area","972","11",
"310M700US44220","Springfield, OH Metro Area","872","20",
"310M700US44300","State College, PA Metro Area","1207","27",
"310M700US44420","Staunton-Stuarts Draft, VA Metro Area","1068","43",
"310M700US44700","Stockton-Lodi, CA Metro Area","1734","23",
"310M700US44940","Sumter, SC Metro Area","1057","51",
"310M700US45060","Syracuse, NY Metro Area","1077","12",
"310M700US45220","Tallahassee, FL Metro Area","1252","25",
"310M700US45300","Tampa-St. Petersburg-Clearwater, FL Metro Area","1628","11",
"310M700US45460","Terre Haute, IN Metro Area","892","22",
"310M700US45500","Texarkana, TX-AR Metro Area","950","21",
"310M700US45780","Toledo, OH Metro Area","939","10",
"310M700US45820","Topeka, KS Metro Area","971","29",
"310M700US45900","Traverse City, MI Metro Area","1225","61",
"310M700US45940","Trenton-Princeton, NJ Metro Area","1623","34",
"310M700US46060","Tucson, AZ Metro Area","1212","14",
"310M700US46140","Tulsa, OK Metro Area","1078","7",
"310M700US46220","Tuscaloosa, AL Metro Area","1005","25",
"310M700US46300","Twin Falls, ID Metro Area","1071","34",
"310M700US46340","Tyler, TX Metro Area","1238","35",
"310M700US46520","Urban Honolulu, HI Metro Area","2083","30",
"310M700US46540","Utica-Rome, NY Metro Area","925","17",
"310M700US46660","Valdosta, GA Metro Area","1025","36",
"310M700US46700","Vallejo, CA Metro Area","2163","31",
"310M700US47020","Victoria, TX Metro Area","1151","34",
"310M700US47220","Vineland, NJ Metro Area","1282","38",
"310M700US47260","Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area","1478","13",
"310M700US47300","Visalia, CA Metro Area","1280","25",
"310M700US47380","Waco, TX Metro Area","1151","23",
"310M700US47460","Walla Walla, WA Metro Area","1218","100",
"310M700US47580","Warner Robins, GA Metro Area","1167","32",
"310M700US47900","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","2027","11",
"310M700US47930","Waterbury-Shelton, CT Metro Area","1330","29",
"310M700US47940","Waterloo-Cedar Falls, IA Metro Area","977","19",
"310M700US48060","Watertown-Fort Drum, NY Metro Area","1213","32",
"310M700US48140","Wausau, WI Metro Area","999","28",
"310M700US48260","Weirton-Steubenville, WV-OH Metro Area","785","29",
"310M700US48300","Wenatchee-East Wenatchee, WA Metro Area","1251","59",
"310M700US48540","Wheeling, WV-OH Metro Area","812","23",
"310M700US48620","Wichita, KS Metro Area","987","14",
"310M700US48660","Wichita Falls, TX Metro Area","995","26",
"310M700US48680","Wildwood-The Villages, FL Metro Area","1269","119",
"310M700US48700","Williamsport, PA Metro Area","913","25",
"310M700US48900","Wilmington, NC Metro Area","1389","28",
"310M700US49020","Winchester, VA-WV Metro Area","1358","57",
"310M700US49180","Winston-Salem, NC Metro Area","1016","18",
"310M700US49340","Worcester, MA Metro Area","1426","19",
"310M700US49420","Yakima, WA Metro Area","1109","30",
"310M700US49620","York-Hanover, PA Metro Area","1193","24",
"310M700US49660","Youngstown-Warren, OH Metro Area","795","12",
"310M700US49700","Yuba City, CA Metro Area","1386","33",
"310M700US49740","Yuma, AZ Metro Area","993","36",
