"GEO_ID","NAME","B08303_001E","B08303_001M","B08303_002E","B08303_002M","B08303_003E","B08303_003M","B08303_004E","B08303_004M","B08303_005E","B08303_005M","B08303_006E","B08303_006M","B08303_007E","B08303_007M","B08303_008E","B08303_008M","B08303_009E","B08303_009M","B08303_010E","B08303_010M","B08303_011E","B08303_011M","B08303_012E","B08303_012M","B08303_013E","B08303_013M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 5 minutes","Margin of Error!!Total:!!Less than 5 minutes","Estimate!!Total:!!5 to 9 minutes","Margin of Error!!Total:!!5 to 9 minutes","Estimate!!Total:!!10 to 14 minutes","Margin of Error!!Total:!!10 to 14 minutes","Estimate!!Total:!!15 to 19 minutes","Margin of Error!!Total:!!15 to 19 minutes","Estimate!!Total:!!20 to 24 minutes","Margin of Error!!Total:!!20 to 24 minutes","Estimate!!Total:!!25 to 29 minutes","Margin of Error!!Total:!!25 to 29 minutes","Estimate!!Total:!!30 to 34 minutes","Margin of Error!!Total:!!30 to 34 minutes","Estimate!!Total:!!35 to 39 minutes","Margin of Error!!Total:!!35 to 39 minutes","Estimate!!Total:!!40 to 44 minutes","Margin of Error!!Total:!!40 to 44 minutes","Estimate!!Total:!!45 to 59 minutes","Margin of Error!!Total:!!45 to 59 minutes","Estimate!!Total:!!60 to 89 minutes","Margin of Error!!Total:!!60 to 89 minutes","Estimate!!Total:!!90 or more minutes","Margin of Error!!Total:!!90 or more minutes",
"310M700US34900","Napa, CA Metro Area","56218","1802","1661","315","7893","964","9233","803","8802","780","6175","600","2635","341","7216","630","1575","318","2330","379","3563","461","3537","584","1598","296",
"310M700US34940","Naples-Marco Island, FL Metro Area","137788","2325","2591","491","11716","1033","15817","1165","24309","1608","22955","1459","9531","1017","19728","1731","4240","798","5860","1034","11213","1149","6542","730","3286","720",
"310M700US34980","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","885701","5667","18432","1268","69187","2467","102338","2875","129769","3337","122761","3670","61095","2425","132387","3441","40650","2103","41852","2419","92847","2853","57782","2387","16601","1489",
"310M700US35300","New Haven, CT Metro Area","242407","2988","6286","598","24464","1591","37162","1523","46040","1987","39944","1783","19504","1310","28978","1621","5851","667","7089","871","12346","1063","9382","1027","5361","792",
"310M700US35380","New Orleans-Metairie, LA Metro Area","398408","3599","10518","811","34358","1723","55040","1764","71113","2307","67031","2265","25148","1418","63540","2546","10808","909","11718","966","24853","1683","16488","1215","7793","834",
"310M700US35620","New York-Newark-Jersey City, NY-NJ Metro Area","7904165","17566","147823","3567","443997","5953","686643","8080","833512","8979","879686","10064","448454","6085","1166199","10145","277433","4890","457393","5814","980460","8991","1094627","9086","487938","6740",
"310M700US35660","Niles, MI Metro Area","60765","1344","2863","400","9763","648","11242","756","11070","750","7889","576","4323","545","5458","472","1293","248","1401","249","2199","369","1770","350","1494","278",
"310M700US35840","North Port-Bradenton-Sarasota, FL Metro Area","312372","3661","6506","652","25006","1802","38752","1750","46296","1904","55825","2170","20941","1231","54331","2561","9519","920","11858","1097","23339","1428","13759","1018","6240","697",
"310M700US35980","Norwich-New London-Willimantic, CT Metro Area","121184","1841","3110","542","13158","862","17627","1043","22732","1430","17802","1175","9163","794","14855","978","3882","670","3961","511","7262","717","5473","651","2159","438",
"310M700US36100","Ocala, FL Metro Area","134402","2549","2309","458","11064","1129","16386","1269","21239","1453","19511","1341","11100","1263","22952","1612","5196","756","4436","671","10910","1194","5645","771","3654","763",
"310M700US36220","Odessa, TX Metro Area","72167","1449","1700","456","7676","971","12587","1398","13868","1289","11014","1162","3862","782","8662","1141","841","309","1856","524","4109","584","2584","431","3408","957",
"310M700US36260","Ogden, UT Metro Area","272394","3231","7493","759","29452","1367","40336","1573","48641","1847","47071","1893","20330","1147","31916","1550","7781","659","8667","750","17250","1344","9811","868","3646","502",
